N,bias_alpha,bias_nu,bias_tau,sq_error_alpha,sq_error_nu,sq_error_tau
10,-0.02767974491376557,0.24767117951982298,0.02642018427543713,0.0007661682784911309,0.06134101316474038,0.0006980261371480554
10,-0.027733467298507897,-2.3451545473380304,-0.00047502779403346684,0.0007691452083974069,5.499749850900242,2.256514051043018e-07
10,-0.29122764987130956,-0.3162000440620989,0.03812962767687972,0.08481354404956606,0.09998246786487329,0.0014538685067774719
10,0.038051221559416204,0.08366740519166393,0.006668784738145056,0.0014478954621637806,0.007000234691506073,4.447268988371642e-05
10,-0.09978249775029702,-0.5732992597888509,0.013081635529429592,0.009956546857288029,0.3286720412744443,0.00017112918812483462
10,0.02506731284319552,0.3982663595486483,0.19741170205816294,0.0006283701731786351,0.1586160931481332,0.038971380109500894
10,-0.07605825090409435,-0.08503988021791642,0.06408134309445362,0.005784857530590169,0.007231781227477572,0.004106418532789079
10,-0.01402225949978031,0.22490453552312772,-0.07025258862958056,0.00019662376147917913,0.05058205009887382,0.004935426209157072
10,-0.03983862091139012,-0.5594066489848797,-0.09404181840661874,0.0015871157161214502,0.3129357989284924,0.008843863609223455
10,0.013094180140499123,1.3592217154712676,0.07379800969646017,0.00017145755355184165,1.8474836718086556,0.005446146235158829
10,0.13069770332522423,-0.4431177919680025,-0.04454913657321749,0.01708188965448833,0.19635337755859794,0.0019846255694191844
10,-0.12529274850682692,0.3526500472839219,0.01592972516442076,0.01569827282839498,0.12436205584935235,0.00025375614381398004
10,0.049022354133016255,0.5221840377789537,-0.013678650602074988,0.0024031912047428558,0.27267616931113176,0.00018710548229364642
10,0.18534665237568315,1.5129843639857405,0.025236948992571284,0.034353381546872334,2.289121685665336,0.0006369035944536448
10,-0.172632860035835,-1.6781636382576934,0.017360839734762212,0.029802104364152197,2.8162331967702987,0.0003013987562960985
